species
C10F9H11O1_0_1_160_M2990
C10F9H11O2_0_1_168_M538
C10F9H5O1_0_1_154_M55
C10F9H5O3S1_0_1_186_M3366
C10F9H5_0_1_146_M1432
C10F9H5_1_2_145_rc_M1433
C10H13O1_-1_1_82_M1095
C10H13O1_-1_1_82_M1096
C10H13O1_-1_1_82_M1097
C10H13O1_0_2_81_r_M1098
C10H13O1_0_2_81_r_M1099
C10H13O1_0_2_81_r_M1100
C10H13O1_1_1_80_M1101
C10H13O1_1_1_80_M1102
C10H13O1_1_1_80_M1103
C10H13O3S1_-1_1_114_M1940
C10H13O3S1_0_2_113_r_M1942
C10H13O4S1_-1_1_122_M2434
C10H13O4S1_-1_1_122_M2435
C10H13O4S1_-1_1_122_M2436
C10H13O4S1_-1_1_122_M2438
C10H13O4S1_-1_1_122_M2440
C10H13O4S1_-1_1_122_M2441
C10H13O4S1_-1_1_122_M2442
C10H13O4S1_-1_1_122_M2443
C10H13O4S1_0_2_121_r_M2444
C10H13O4S1_0_2_121_r_M2445
C10H13O4S1_0_2_121_r_M2446
C10H13_-1_1_74_M1044
C10H13_0_2_73_r_M1045
C10H13_1_1_72_M1046
C10H14O1_-1_2_83_ra_M835
C10H14O1_-1_2_83_ra_M836
C10H14O1_-1_2_83_ra_M837
C10H14O1_0_1_82_M840
C10H14O1_0_1_82_M840*
C10H14O1_0_1_82_M841
C10H14O1_0_1_82_M842
C10H14O1_0_1_82_M843
C10H14O1_0_1_82_M845
C10H14O1_1_2_81_rc_M846
C10H14O1_1_2_81_rc_M846*
C10H14O1_1_2_81_rc_M847
C10H14O1_1_2_81_rc_M848
C10H14O1_1_2_81_rc_M849
C10H14O1_1_2_81_rc_M851
C10H14O2_0_1_90_M1603
C10H14O2_0_1_90_M1604
C10H14O2_0_1_90_M1605
C10H14O2_0_1_90_M1606
C10H14O2_0_1_90_M1607
C10H14O2_0_1_90_M1609
C10H14O2_1_2_89_rc_M1611
C10H14O2_1_2_89_rc_M1612
C10H14O4S1_-1_2_123_ra_M3346
C10H14O4S1_-1_2_123_ra_M3347
C10H14O4S1_0_1_122_M3351
C10H14O4S1_0_1_122_M3352
C10H14O4S1_0_1_122_M3353
C10H14_0_1_74_M1652
C10H14_0_1_74_M1653
C10H14_1_2_73_rc_M1654
C10H14_1_2_73_rc_M1655
C10H15O1_-1_1_84_M1403
C10H15O1_-1_1_84_M1404
C10H15O1_-1_1_84_M1405
C10H15O1_-1_1_84_M1406
C10H15O1_0_2_83_r_M1407
C10H15O1_0_2_83_r_M1408
C10H15O1_0_2_83_r_M1409
C10H15O1_0_2_83_r_M1410
C10H15O1_1_1_82_M1411
C10H15O1_1_1_82_M1412
C10H15O1_1_1_82_M1413
C10H15O1_1_1_82_M1414
C10H15O1_1_1_82_M1415
C10H15O2_-1_1_92_M1706
C10H15O2_-1_1_92_M1707
C10H15O2_0_2_91_r_M1708
C10H15O2_0_2_91_r_M1709
C10H15O2_0_2_91_r_M1710
C10H15O2_0_2_91_r_M1711
C10H15O2_1_1_90_M1712
C10H15O2_1_1_90_M1713
C10H15O2_1_1_90_M1714
C10H15O2_1_1_90_M1715
C10H19O2_0_2_95_r_M1559
C10H19O2_1_1_94_M1560
